Reg no,Name,DoB,Gender,JSC,SSC,HSC,Result
526912,Rahim,9.11.1999,Male,4.9,4.7,4.8,Pass
843645,Karim,8.11.1998,Male,4.6,4.8,5,Pass
512648,Shimul,30.11.1998,Male,4.7,5,4.6,Fail
841266,Faria,20.11.1999,Female,4.6,4.6,5,Pass
542582,Sayem,1.12.1998,Male,5,4.8,4.6,Pass
845631,Rafat,8.12.1999,Male,4.5,4.6,4.65,Fail
452175,Maria,20.5.1998,Female,4.8,4.9,4.9,Pass
478963,Munni,22.5.1998,Female,4.6,5,4.8,Pass
154782,Nusrat,5.3.1999,Female,4.4,4.7,5,Pass
569210,Lamya,3.11.1999,Female,5,4.4,4.5,Fail
412560,Imran,15.7.1999,Male,4.6,4.8,5,Pass
266940,Afridi,7.3.1998,Male,4.7,4.6,4.9,Pass
126436,Borsha,15.9.1999,Female,4.9,5,4.7,Pass
158340,Nourin,25.10.1999,Female,4.8,4.9,5,Pass
230548,Rubel,26.7.1998,Male,4.65,4.5,4.6,Fail
356046,Sana,6.9.1999,Female,4.9,4.65,5,Pass
520047,Fariya,28.11.1999,Female,4.6,5,4.7,Pass
953485,Tussy,25.12.1998,Female,5,4.7,4.8,Pass
588445,Rajon,17.5.1998,Male,4.8,5,4.6,Pass
269425,Syed,20.4.1999,Male,5,4.8,4.9,Pass
